iter	Passed	Remaining
480	608	656
481	610	655
482	611	654
483	613	653
484	614	652
485	615	651
486	616	649
487	617	647
488	618	646
489	619	644
490	620	642
491	621	641
492	621	639
493	622	637
494	623	636
495	624	634
496	625	633
497	627	632
498	628	630
499	629	629
500	629	627
501	630	625
502	631	624
503	632	622
504	633	621
505	634	619
506	635	618
507	636	616
508	637	615
509	639	614
510	640	612
511	641	611
512	642	609
513	643	608
514	644	606
515	645	605
516	646	603
517	647	602
518	648	600
519	649	599
520	649	597
521	650	595
522	651	593
523	652	592
524	653	590
525	654	589
526	656	588
527	657	587
528	658	586
529	659	584
530	660	583
531	661	581
532	662	580
533	663	579
534	664	577
535	665	576
536	666	574
537	667	572
538	668	572
539	671	571
540	672	570
541	673	568
542	674	567
543	675	566
544	676	565
545	677	563
546	678	562
547	679	560
548	680	559
549	681	557
550	684	557
551	686	556
552	687	555
553	688	554
554	689	552
555	690	551
556	691	549
557	692	548
558	693	547
559	694	545
560	695	544
561	696	542
562	697	541
563	699	540
564	700	539
565	701	538
566	702	536
567	703	534
568	704	533
569	705	532
570	707	531
571	708	530
572	709	528
573	710	527
574	711	525
575	713	524
576	714	523
577	715	522
578	716	520
579	717	519
580	718	517
581	718	516
582	720	515
583	721	513
584	722	512
585	723	510
586	724	509
587	725	508
588	726	506
589	727	505
590	729	504
591	730	503
592	731	502
593	732	500
594	733	499
595	735	498
596	736	497
597	737	495
598	738	494
599	739	492
600	741	492
601	743	491
602	744	490
603	745	488
604	746	487
605	747	486
606	749	485
607	750	483
608	751	482
609	752	481
610	753	479
611	754	478
612	756	477
613	758	476
614	759	475
615	760	474
616	761	472
617	761	470
618	763	469
619	764	468
620	765	467
621	766	465
622	767	464
623	768	463
624	769	461
625	772	461
626	773	460
627	775	459
628	776	457
629	776	456
630	778	455
631	779	454
632	780	452
633	781	451
634	783	450
635	785	449
636	786	448
637	788	447
638	789	445
639	790	444
640	791	443
641	793	442
642	794	441
643	795	439
644	796	438
645	798	437
646	801	437
647	802	436
648	803	434
649	804	433
650	805	431
651	805	430
652	806	428
653	808	427
654	809	426
655	810	424
656	811	423
657	811	422
658	812	420
659	814	419
660	816	418
661	817	417
662	818	416
663	819	414
664	820	413
665	821	412
666	823	410
667	823	409
668	824	408
669	825	406
670	826	405
671	827	403
672	829	403
673	831	402
674	832	400
675	833	399
676	833	397
677	834	396
678	835	394
679	836	393
680	837	392
681	838	390
682	839	389
683	840	388
684	841	386
685	843	385
686	844	384
687	845	383
688	846	382
689	847	380
690	848	379
691	848	377
692	850	376
693	851	375
694	852	374
695	853	372
696	854	371
697	855	370
698	856	368
699	858	367
700	860	366
701	861	365
702	862	364
703	862	362
704	863	361
705	864	360
706	866	358
707	866	357
708	867	356
709	868	354
710	869	353
711	870	352
712	872	351
713	874	350
714	875	348
715	876	347
716	876	346
717	877	344
718	879	343
719	880	342
720	881	340
721	882	339
722	883	338
723	883	336
724	884	335
725	886	334
726	887	333
727	889	332
728	890	330
729	891	329
730	891	328
731	893	327
732	894	325
733	895	324
734	896	323
735	897	322
736	898	320
737	900	319
738	902	318
739	904	317
740	905	316
741	906	315
742	907	313
743	908	312
744	909	311
745	910	309
746	911	308
747	912	307
748	913	305
749	914	304
750	915	303
751	916	302
752	917	300
753	918	299
754	919	298
755	919	296
756	920	295
757	921	294
758	922	292
759	923	291
760	924	290
761	925	288
762	926	287
763	926	286
764	927	285
765	929	283
766	930	282
767	931	281
768	932	280
769	933	278
770	933	277
771	934	275
772	935	274
773	936	273
774	937	272
775	937	270
776	938	269
777	939	268
778	940	266
779	940	265
780	941	264
781	944	263
782	945	262
783	946	260
784	947	259
785	948	258
786	949	257
787	950	255
788	951	254
789	952	253
790	953	251
791	954	250
792	955	249
793	956	248
794	957	246
795	958	245
796	959	244
797	960	243
798	961	241
799	962	240
800	965	239
801	966	238
802	967	237
803	968	236
804	969	234
805	970	233
806	970	232
807	972	230
808	973	229
809	975	228
810	976	227
811	978	226
812	979	225
813	979	223
814	980	222
815	981	221
816	983	220
817	984	218
818	985	217
819	988	216
820	989	215
821	990	214
822	992	213
823	993	212
824	994	210
825	995	209
826	996	208
827	997	207
828	998	205
829	999	204
830	1000	203
831	1001	202
832	1002	201
833	1003	199
834	1004	198
835	1005	197
836	1006	195
837	1007	194
838	1008	193
839	1009	192
840	1010	191
841	1011	189
842	1012	188
843	1013	187
844	1015	186
845	1016	185
846	1017	183
847	1019	182
848	1020	181
849	1021	180
850	1022	178
851	1023	177
852	1023	176
853	1024	175
854	1025	173
855	1026	172
856	1027	171
857	1028	170
858	1029	169
859	1031	167
860	1031	166
861	1032	165
862	1033	164
863	1034	162
864	1035	161
865	1036	160
866	1036	159
867	1037	157
868	1038	156
869	1039	155
870	1040	154
871	1043	153
872	1043	151
873	1046	150
874	1047	149
875	1048	148
876	1049	147
877	1050	145
878	1050	144
879	1051	143
880	1052	142
881	1053	141
882	1054	139
883	1055	138
884	1056	137
885	1057	136
886	1063	135
887	1064	134
888	1066	133
889	1067	131
890	1067	130
891	1068	129
892	1069	128
893	1070	126
894	1071	125
895	1072	124
896	1072	123
897	1073	121
898	1076	120
899	1077	119
900	1078	118
901	1079	117
902	1080	116
903	1080	114
904	1081	113
905	1082	112
906	1083	111
907	1084	109
908	1084	108
909	1085	107
910	1086	106
911	1087	104
912	1088	103
913	1090	102
914	1091	101
915	1092	100
916	1093	98
917	1094	97
918	1095	96
919	1096	95
920	1097	94
921	1098	92
922	1099	91
923	1101	90
924	1102	89
925	1103	88
926	1105	87
927	1106	85
928	1107	84
929	1108	83
930	1109	82
931	1110	80
932	1111	79
933	1112	78
934	1113	77
935	1114	76
936	1115	75
937	1116	73
938	1120	72
939	1121	71
940	1122	70
941	1123	69
942	1124	67
943	1125	66
944	1126	65
945	1127	64
946	1128	63
947	1129	61
948	1130	60
949	1132	59
950	1134	58
951	1135	57
952	1136	56
953	1136	54
954	1137	53
955	1138	52
956	1139	51
957	1140	49
958	1141	48
959	1142	47
960	1143	46
961	1145	45
962	1146	44
963	1149	42
964	1151	41
965	1152	40
966	1153	39
967	1154	38
968	1155	36
969	1156	35
970	1157	34
971	1158	33
972	1159	32
973	1159	30
974	1160	29
975	1161	28
976	1162	27
977	1163	26
978	1164	24
979	1165	23
980	1166	22
981	1167	21
982	1168	20
983	1169	19
984	1169	17
985	1170	16
986	1171	15
987	1172	14
988	1173	13
989	1174	11
990	1175	10
991	1175	9
992	1177	8
993	1178	7
994	1179	5
995	1180	4
996	1181	3
997	1181	2
998	1182	1
999	1183	0
